restaurant,burger,toppings,address,hours,fine_print
New Seasons Market,The Chile Piment-O Yeah Burger,"A grass-fed beef patty from Carman Ranch, tangy pimento cheese, roasted green chiles, pickle chips, and shredded lettuce on a Pearl Bakery bun.The Inspiration: South meets Southwest, meets Pacific Northwest. From New Seasons Chef Bill Hussey: “This sucker is a slap in the face of flavor!”",Various , 10:30 am-8 pm,Allow Minors? YesAllow Takeout? YesAllow Delivery? NoPurchase Limit? NoMeat or Vegetarian? MeatAvailable Gluten-Free? YesAvailable Vegetarian? YesAvailable Vegan? No
Ya Hala,Beef Shawarma Burger,"Shawarma spiced beef, harissa burger sauce, lettuce, pickles, brioche bun.The Inspiration: Our house shawarma spices meet juicy slices of beef and a harissa burger sauce. Big, bold and delicious, you'll forget you ever lost your sense of taste... ",8005 SE Stark St , 12-8 pm,Allow Minors? YesAllow Takeout? YesAllow Delivery? YesPurchase Limit? NoMeat or Vegetarian? MeatAvailable Gluten-Free? Yes - Sans bunAvailable Vegetarian? NoAvailable Vegan? No
Moreland Ale House,Best Damn Burger in Town,Painted Hills pasture-raised all natural beef patty with extra sharp white Tillamook cheddar cheese and caramelized onions served on a Grand Central Bakery brioche bun. The Inspiration: A classic burger made with top quality ingredients! What more could you want?? The name says it all!!,7995 SE Mikwaukie ," Mon-Fri 11:30 am-11 pm, Sat-Sun 1-11 pm",Allow Minors? YesAllow Takeout? NoAllow Delivery? NoPurchase Limit? We’re only going to make 300 a day. Get here early!Meat or Vegetarian? MeatAvailable Gluten-Free? NoAvailable Vegetarian? YesAvailable Vegan? No
Next Level Burger,Beyond PB + JJ Bacon ChzBurger,"Organic, butter-toasted bun slathered with organic creamy peanut butter and sweet berry jam wrapped around a juicy, house-seasoned Beyond Burger patty topped with house-made tempeh bacon, provolone cheese, and grilled jalapeños.The Inspiration: PB&J goes Next Level ... and then some, with this crave-worthy take on the classic—making it a Bacon ChzBurger is Epic Awesomeness. It's a 100% plant-based must try!!!",4121 SE Hawthorne , 11 am-11 pm; 1972 W Burnside / 11 am-10 pm,Allow Minors? YesAllow Takeout? YesAllow Delivery? YesPurchase Limit? NoMeat or Vegetarian? VeganAvailable Gluten-Free? YesAvailable Vegetarian? NoAvailable Vegan? Yes
Nick's Famous Coney Island,Big Nick,"Double decker, double patty burger. Served with two Painted Hills Beef patties, shredded jalapeño slaw, and bang bang sauce, all in a locally made triple-stack bun.The Inspiration: We were looking to go spicy and to stack it high!Drink Special: No ",3746 SE Hawthorne Blvd , 12-8 pm every day,Allow Minors? YesAllow Takeout? YesAllow Delivery? NoPurchase Limit? NoMeat or Vegetarian? MeatAvailable Gluten-Free? NoAvailable Vegetarian? NoAvailable Vegan? No
Boke Bowl,Boke Burger,"Quarter pound double-stacked burger with Tillamook cheddar, house pickles, and shaved onion with a gochujang aioli on an An Xuyên Bakery butter bun.The Inspiration: Hits all the flavor and mouth feel notes-rich and juicy with a hit of salty, sweet, and sour finish.Drink Special: $3 shots $5.50 pint Laurelwood",1028 SE Water Ave , Wed-Sun 11 am-8 pm,"Allow Minors? YesAllow Takeout? YesAllow Delivery? We will offer delivery through our apps, however may need to turn them off during peak times depending on volume. Purchase Limit? YesMeat or Vegetarian? MeatAvailable Gluten-Free? NoAvailable Vegetarian? NoAvailable Vegan? No"
Wine & Growl,Bone Marrow Burger,"Grass-fed Oregon beef, local aged cheddar, garlic thyme aioli, and bread & butter pickles topped with caramelized bone marrow butter.The Inspiration: Inspired by the classic flavors of an American steakhouse.",8108 SW Beaverton Hillsdale Hwy , 4-9 pm,Allow Minors? YesAllow Takeout? NoAllow Delivery? NoPurchase Limit? YesMeat or Vegetarian? MeatAvailable Gluten-Free? YesAvailable Vegetarian? NoAvailable Vegan? No
Duke's Public House,Brisket Bacon Brie Burger,"Brisket burger, bacon jam, brie, grilled onion, balsamic glaze, sriracha mayo, arugula, brioche bunThe Inspiration: Big Ass 8 Dollar Burger","506 A Ave, Lake Oswego ", 12-10 pm,Allow Minors? YesAllow Takeout? NoAllow Delivery? NoPurchase Limit? NoMeat or Vegetarian? MeatAvailable Gluten-Free? YesAvailable Vegetarian? NoAvailable Vegan? No
Rabbits Cafe,Brunch Burger,"Before the Butcher burger, Just Egg patty, VioLife cheddar, Tofutti cream cheese, marionberry Jam, Dos Hermanos potato bunThe Inspiration: Sweet, savory, and 100% vegan. You can't go wrong with our delicious brunch burger.",1640 NE Killingsworth St , Mon-Sun 9 am-2 pm,"Allow Minors? YesAllow Takeout? YesAllow Delivery? Yes - Uber Eats, Doordash, GrubhubPurchase Limit? NoMeat or Vegetarian? VeganAvailable Gluten-Free? NoAvailable Vegetarian? YesAvailable Vegan? Yes"
Holler,Buffalo Ranch Burger,"Beef burger, Tillamook cheddar, house-made onion ring, buffalo ranch, iceberg lettuceThe Inspiration: When you're torn between onion rings or fries with your burger, just get the onion rings on your burger...then still get the fries.Drink Special: Jim Beam shot and a Laurelwood beer for $9",7119 SE Milwaukie ," Mon-Thurs 12-9 pm, Fri 11 am-9 pm, Sat-Sun 10 am-9 pm",Allow Minors? YesAllow Takeout? YesAllow Delivery? NoPurchase Limit? NoMeat or Vegetarian? MeatAvailable Gluten-Free? NoAvailable Vegetarian? NoAvailable Vegan? No
