restaurant,burger,toppings,description,address,hours,JB_special,JBL_special,minors,takeout,delivery,purchase_limit,meat_veggie,gluten_free,veggie,vegan,NA
Abigail Hall,Wagyu Smash Burger,"Wagyu patty, hotboxed onion relish, American cheese, iceberg lettuce, and flamed Toki Whisky Comeback Sauce on a brioche bun","A riff on a tableside flambé Wagyu dish that Chef Joel used to make, this is a stoney smash burger version with ""hotboxed"" onions and ""Toki-n"" Comeback sauce. ;)","813 SW Alder Street, Portland, OR","Monday–Tuesday 3–11 pm, Wednesday–Friday 3 pm–midnight, Saturday 5 pm–midnight, Sunday 5–10 pm",Toki highball $10,$10,No,No,No,No,Meat,Yes,No,No,NA
Aji Tram Restaurant and Bar,Loco Moco Burger,"Beef patty, beef and mushroom gravy, caramelized onions, sunny side up egg, Hawaiian roll",Naughty ,"4477 Lakeview Blvd, Lake Oswego, OR",Daily 12–9 pm,No,No,Yes,No,No,No,Meat,No,No,No,NA
BRIX Tavern,BRIX Cheeseburger,"Topped with smoked cheddar, lettuce, tomato, caramelized onions, and aioli",When a classic is done well it should be celebrated! The BRIX Cheeseburger comes with traditional toppings and a little twist with the smoked cheddar. Some things are timeless for a reason.,"1338 NW Hoyt St, Portland, OR","Monday–Thursday 11 am–10 pm, Friday 11 am–11 pm, Saturday 9:30 am–11 pm, Sunday 9:30 am–10 pm",We offer Jim Beam and Jim Beam Black - $10 each,No,Yes,Yes,No,No,Meat,Yes,Yes,No,NA
Barbur World Foods,Beef Shawarma Burger,"Shawarma-spiced beef, grilled onions, harissa mayo, pickles, lettuce, brioche bun","Savor the flavor of our bold Shawarma Burger: succulent beef shawarma, zesty harissa mayo, grilled spiced onions, fresh lettuce, and tangy pickles, surrounded by a soft brioche bun. These flavors will linger on your palate, leaving you craving each and every bite.","9845 SW Barbur Blvd, Portland, OR",Daily 10:30 am–8 pm,No,No,Yes,Yes,No,No,Meat,"Maybe, sans bun",No,No,NA
Binary Brewing,SMASH the Hatch,"Two smash patties, sharp white cheddar, roasted Hatch chile, pickles, griddled onions, cilantro mayo","Two crispy SMASHED 100% beef patties covered in melted sharp white cheddar, roasted hatch chile, house pickles, griddled onions, and cilantro mayo. ","12345 SW Broadway, Beaverton, OR","Tuesday–Wednesday 3–10 pm, Thursday–Sunday 12–10 pm","No, just craft beer",No,Yes,Yes,No,No,Meat,Yes,"Yes, sub a house-made spent grain veggie patty",No,NA
Boke Bowl,Boke Burger,"1/3 lb double patty, Tillamook cheddar, hoisin ketchup, basil slaw, house pickles, and sambal aioli on an An Xuyen Bakery Bun. ","If it ain't broke, don't fix it! Burgers are great as is, we just put a little Boke in it!","1028 SE Water Ave, Portland, OR",Wednesday–Sunday 11 am–8 pm,$3 shots of Jim Beam with any burger purchase,Shot and a beer for $7 add on to burger,Yes,Yes,Yes,No,Meat,No,No,No,NA
Bottle + Kitchen,Spicy Pineapple Burger,"1/3 lb beef patty, house-made spicy pineapple habanero marmalade, garlic aioli, blue cheese, lettuce, tomato, and onion on a toasted brioche bun",Are you into fitness? We’re into fitness…fit’ness whole burger into our mouth! Swing by BandK and wrap your lips around this juicy burger today.,"50 SW Morrison St, Portland, OR",Daily 4–10 pm,Jim Beam $7,Laurelwood Workhorse IPA and shot of Jim Beam - $12 with the purchase of the burger of the week ,Yes,Yes,No,No,Meat,No,No,No,NA
Bucket Brigade Sports Bar & Restaurant,Smoky Aloha Burger,"Roasted jalapeño, pineapple salsa, teriyaki-seasoned burger patty, melted Swiss cheese, fresh tomato, and lettuce on a butter bun",Sweet and fresh with a hint of spice! Delicious taste of summer vibes.,"8012 SE Powell Blvd, Portland, OR","Monday–Thursday 10–1 am, Friday 10–2:30 am, Saturday 9–2:30 am, Sunday 9–1 am",Jim Beam - $6,No,No,No,No,No,Meat,"Maybe, with no bun","Yes, with black bean patty",No,NA
Burger Stevens,Queso Stevens,Queso Stevens features a chile-spiked 3 oz burger covered in a nacho cheese sauce with roasted & pickled chiles and grilled onions on a toasted potato bun,Queso Stevens is inspired by Sonic Drive-In's amazing Queso Burger that existed in 2020,"4237 N Mississippi Ave, Portland, OR","Prost: Monday 11 am–7 pm, Thursday–Sunday 11 am–7 pm, Hinterland: Wednesday–Sun 11 am–8 pm",No,No,Yes,Yes,No,No,Meat,Yes,No,No,NA
Burger Stevens,Queso Stevens,Queso Stevens features a chile-spiked 3 oz burger covered in a nacho cheese sauce with roasted & pickled chiles and grilled onions on a toasted potato bun,Queso Stevens is inspired by Sonic Drive-In's amazing Queso Burger that existed in 2020,"2216 SE 50th Ave, Portland, OR","Prost: Monday 11 am–7 pm, Thursday–Sunday 11 am–7 pm, Hinterland: Wednesday–Sun 11 am–8 pm",No,No,Yes,Yes,No,No,Meat,Yes,No,No,NA
