restaurant,burger,toppings,description,address_hours,JB_special,minors,takeout,delivery,purchase_limit,meat_veggie,gluten_free,veggie,vegan
Aji Tram Restaurant and Bar,Texas Hold 'Em,"beef patty, American cheese, Texas toast, crispy shallot, B&B pickles, chili aioli",winner of the 2024 Best of Lake Oswego burger contest,"4477 Lakeview Blvd / Monday-Thursday 11:30am-8:45pm, Friday 11:30am-9:45pm, Saturday 12-9:45pm, Sunday 12-8:45pm","a shot for $6 (""a burger and a beam"")",Yes,"n-house togo only, no over the phone",No,No,Meat,No,No,No
Bacchus Bar,Return of the Mac,"Sesame seed bun, 1/4 lbs beef patty, American cheese, iceberg lettuce, pickled onions, with Mac burger sauce","The classic American cheeseburger! All of the flavors and nostalgia of a Big Mac you had as a kid, that will remind you of the simpler times in the drive-thru on a road trip with your family. And don't forget the prize that would come in every box!",422 SW Broadway / Daily 4-11pm,Jim Beam Bourbon - $7 shot + mixer. Jim Beam Rye cocktail for $11,? Yes,? No,? No,? Yes,? Meat,? No,? No,? No
Besaw's,Truffle Over to Besaw's,"Wagyu beef dusted with truffle salt, caramelized onions, truffle aioli, topped with 1 egg and cheddar cheese.","We are brunch to the core, so we needed to do a brunch burger that is elevated.","1545 NW 21st Ave / Monday-Friday 9am-2:30pm, Saturday-Sunday 9am-3:30pm",NA,? Yes,? Yes,? No,? 1 burger per person,? Meat,"? Yes, Udi's gluten free bun",? Yes,? No
Bistro Alder,Round-Up Burger,"Featuring a Beef Patty, Arugula, pickled pepper aioli, and a house-made onion ring on a toasted brioche bun.",Ben Waterman has been active in the Portland food scene for over a decade consistently surprising and delighting clients at all levels of service. Paying homage to Chef Ben's favorite annual activity we are offering the Round-up Burger.,715 SW Alder St / Daily 7am-1pm & 4pm-11pm,NA,? Yes,? No,? No,? Yes - 2 per person,? Meat,? No,? No,? No
Boke Bowl,Boke Double Burger,"Double patty, Tillamook cheddar, Caramelized onions, Boke pickled cucumbers, and our Boke Secret sauce with Japanese kewpie mayo, gochujang and chile crunch! All served on our favorite An Xuyen bakery Brioche bun.",We love Burger Week! We are proud that ours is always considered a front runner amongst burger week devotees! Our commitment to the traditional building blocks of a great burger always shines through while also using fun Asian flavors and ingredients to compliment it!,1028 SE Water Ave. Ste 120 / Tuesday-Sunday 11am-8:30pm,$3 Jim Beam shots with burger purchase,Yes,Yes,Yes,No,Meat,No,No,No
Breakside Brewery - Dekum,Turtle Power,"A beef/Italian sausage blend patty atop a buttery croissant smothered in pizza sauce and mozzarella and topped with pepperoni cups, mushrooms, bell peppers, onions and black olives.",We are surrounded by pizza joints here in the Woodlawn neighborhood. Why not make a burger taste like a pizza!?! Michaelangelo would be stoked!,"820 NE Dekum / Daily 11:30am-10pm, closed Tuesday",NA,? Yes,? No,? No,? No,? Meat,"? Yes, sub GF bun $2",? No,? No
Breakside Brewery - Slabtown,The Picnic Burger,"Country Natural beef patty on a brioche bun with a Calabrian chili aioli, Wanderlust IPA melty cheese and coleslaw topped with house made dill pickle potato chips.","This is the perfect summertime burger, crunchy chips, tangy coleslaw and some spicey aioli to balance it out. Utilizing our award winning beer in our recipes elevates the flavors.","1570 NW 22nd Ave / Daily 12-10pm, closed Tuesday",NA,? Yes,? Yes,? No,? No,? Meat,? No,NA,? Yes
Brix Tavern,Balsamic Goat Cheese Burger,"Snake River Farms wagyu patty, goat cheese, sautéed balsamic red onions, arugula, and garlic aioli on a pub bun.",NA,"1338 NW Hoyt St / Monday-Thursday 11am-10pm, Friday 11am-11pm, Saturday 9:30am-11pm, Sunday 9:30am-10pm",Jim Beam bourbon in a whiskey sour with lemon and cranberry for $13.50,? Yes,? Yes,? No,? No,? Meat,? No,"? Yes, Beyond Burger can be substituted for $1",? No
Bucket Brigade Sports Bar & Restaurant,The Cubano Burger,"Beef Patty, Pulled Pork, Ham, Swiss Cheese, Pickles and a Cuban Mustard Sauce","Come try our delicious Cuban inspired burger and enjoy our misted, dog friendly patio to keep you and your furry friend cool!","8012 SE Powell Blvd / Monday-Thursday 10am-1am, Friday 10am-2:30am, Saturday 9am-2:30am, Sun 9am-1am",Jim Beam Bourbon $6 and Jim Beam Black $7,? No,? No,? No,? No,? Meat,? No,? No,? No
Burger Stevens,HOT & COOL BURGER #1,"Smashed burger, dunked in our hot sauce, with ranch dressing, pickled chilies, dill pickles & shredded iceberg","Inspired by Buffalo Wings, Nashville Hot Chicken & hot weather","4237 N Mississippi Ave / Monday-Thursday 11am-7pm, Friday-Saturday 11am-8pm, Sunday 11am-7pm",NA,? Yes,? Yes,? Yes,? No,? Meat,"? Yes, gluten-free bun for an up-charge",? No,? No
