restaurant,url,dumpling,address,dining
Bantam Tavern,bantamtavern.com,TBD,"922 NW 21st Ave., Portland, OR 97209",Order: Dine In & Take Out
Boke Bowl,bokebowl.com,Sichuan Chile Crunch Lamb and Cilantro Dumplings w/ Black Vinegar,"1028 SE Water Ave Portland, 97214",Order: Dine In & Take Out | Caviar | GrubHub | Door Dash
Chin’s Kitchen,chinskitchenpdx.com,NA,"4126 NE BROADWAY ST, PORTLAND OR 97232",Order: Take Out | Postmates | GrubHub | QMenu
Chinese Delicacy,Chinese Delicacy Menu,"Pork Dumpling, Shrimp Dumpling","6411 SE 82nd Ave, Portland, OR 97266",Order: Dine In| Take Out | Postmates | GrubHub | Uber Eats
Cibo,cibopdx.com,"Gnudi/Malfatti Classic Italian dumpling made with ricotta and spinach, nutmeg, and Parmigiano, served with a sage butter sauce, Gnudi is Tuscan slang for naked because ricotta and spinach is a filling for ravioli and Gnudi are dumplings with a similar filling made without pasta. In Lombardy, they are called Malfatti and are bigger,","3539 SE Division St. Portland, OR 97202",Order: Dine In
Danwei Canting,danweicanting.com,"8 dumplings filled with Goat Shoulder, Sambal Chili, Cabbage, Egg, and other secret goodies. Served steamed with a sauce of Chinese Black Vinegar and Tamari.","803 SE Stark Street Portland, OR 97214",Order: Dine In & Take Out | Caviar | DoorDash
Ecliptic Brewing,eclipticbrewing.com,Halushki (Ukrainian Dumplings),825 N Cook St. Portland OR 97227,Order: Dine In
Fressen Artisan Bakery and Cafe,fressenartisanbakery.com,Leberkase pretzel dumplings with mushroom dijon gravy and German cabbage salad,"7075 NE Glisan St, Portland, OR 97213",Order: Dine In & Take Out
Gado Gado,gadogadopdx.com,"Shrimp and Fishball Wonton Soup – Halibut fumet, Sichuan shellfish oil, grilled shimeji mushroom, crispy shallots","1801 NE César E Chavez Portland, OR 97212",Order: Dine In
Gin Thai brasserie,ginthaipdx.com,Pan Klib – traditional mini Thai puff dessert with a choice between two stuffings Sweet Mung bean or dried shredded pork chili paste,"3176 NW 185th Ave., Portland OR 97229",Order: Dine In | Grub Hub
il Solito,ilsolitoportland,"crispy 5 cheese ravioli, charred scallion, garlic butter crumble, marinara for dumpling week. ","627 SW Washington St Portland, Or 97205",Order: Dine In
Interurban,Interurbanpdx.com,"Chicken n dumplings; 2 crispy fried arepas. fried chicken gravy, dill pickles","4057 N Mississippi Ave., Portland, OR 97227",Order: Dine In & Take Out
Kachka,kachkapdx.com,"ORANGE CHICKEN PELMENI Panda Express may have invented orange chicken but we're taking it to the next level. Fried chicken pelmeni dressed in a fresh orange and oyster sauce. garnished with broccoli florets, orange zest, chile de arbol and black sesame seeds.","960 SE 11th Ave. Portland, OR 97214",Order: Dine In & Take Out | Kachkapdx.com
Khao Moo Dang,kmdpdx.com,"Giew Haang
house pork dumplings (8) without soup, prepared with
five spiced pork loin and yu-choy, Khao Moo Dang sauce. Another popular Thai comfort dish found anywhere in streets of Bangkok.",3145 SE Hawthorne Blvd Portland Oregon 97214,Order: Dine In & Take Out | Postmates | Caviar | GrubHub | UberEats
Mama Chow's Kitchen,instagram.com/mamachowskitchen,"Dumplings in the style of Sui Gow. Shrimp, Pork, Mushrooms, Bamboo Shoots, Water Chestnuts, and Carrots Served with a Chili Oil Black Vinegar dipping sauce.","2415 SE 35th Pl., Portland, OR 97214 (New Location!)",Order: Take Out & Walk Up
MANDARIN HOUSE,mandarinhouse97204.com,Barbecue pork bao,"120 Southwest Ankeny St, 2nd Floor",Order: Take Out | mandarinhouse97204.com
Mayrose Restaurant,opentable.com/r/mayrose-portland,"Potato gnocchi with roasted wild mushrooms, crumbled Rouge River blue cheese, cream, and chives.","545 SW Taylor Ave, Portland OR 97204",Order: Dine In
Normandie,normandiepdx.com,"Pork & Prawn Dumplings, Miso Broth, Chile Oil, Scallions, Togarashi","1005 SE Ankeny, Portland OR 97214",Order: Dine In & Take Out | normandiepdx.com
North 45,north45pub.com,Blueberry Cheesecake Fried Wonton w/ lemon & thyme gastrique.,"517 NW 21st Ave Portland, OR 97209",Order: Dine In
Oma’s Hideaway,omashideaway.com,"Pork and Shrimp Wonton in Chili Oil – black vinegar, sichuan peppercorn, pork jus, butter, crispy rice, herbs, scallion","3131 SE Division St Portland, OR 97202",Order: Dine In
Paddy’s,paddys.com,"Lamb Banger & Mash Dumpling – House made lamb banger sausage, mashed potatoes, and white cheddar cheese. Stuffed into a wonton skin, deep fried and drizzled with our house onion gravy and topped with crispy fried onions.","65 SW Yamhill St., Portland, OR 97204",Order: Dine In
Piccone's Corner,picconescorner.com,Fennel Sausage Raviolo with Pomodoro and Parmesan,"3434 NE Sandy Blvd Suite 400, Portland, OR 97232",Order: Dine In
¿Por Qué No? Taqueria,porquenotacos.com,"A crispy masa empanada filled with spicy chorizo, black beans, melty queso Oaxaca and roasted Anaheim peppers. Served with a spicy serrano & poblano salsa and a roasted garlic, habanero & lime crema. Garnished with cilantro and pickled onions. **gluten-free**","3524 N Mississippi Ave, Portland OR 97227
4635 SE Hawthorne Blvd, Portland OR 97215",Order: Dine In & Take Out
Produce Row Cafe,producerowcafe.com,NA,"204 SE Oak St, Portland, OR 97214",Order: Dine In
Pure Spice Chinese Restaurant,purespicerestaurant.com,NA,2446 SE 87th Ave #101 Portland OR 97216,Order: Dine In & Take Out | Postmates | Uber Eats
