restaurant,description,address,dining
An An,"Curry Cloud Dumpling: These tender chicken dumplings are lightly steamed and served in a rich Panang curry sauce infused with coconut milk, lemongrass, and kaffir lime. Topped with fresh basil.","8220 N Denver Ave, Portland, OR 97217",Dine In | Take Out
Bamboo House,"Silky Wonton Soup : Pork wontons, char siu pork, shrimps, crispy shallots, onion, cilantro and sesame oil.","4005 SE Hawthorne Blvd, Portland, OR 97214",Dine In | Take Out | Postmates | GrubHub | Uber Eats
Banh Mi Up,"Chicken Wonton with Chili Oil. These delicate wontons are filled with seasoned chicken, delivering a burst of savory flavor in every bite. Drizzled with a rich chili oil that adds a delightful kick, this dish is topped with fresh cilantro, toasted sesame seeds, and crispy shallots for an irresistible crunch.","8037 N Lombard St, Portland, OR 97203",Dine In | Take Out
Bantam Tavern,"(GF) Two different crispy rice paper filled with either lemongrass pork, sourced from Hangbelly Ranch or roasted squash, sourced from Josi Farms (vegan). Each served with a choice of tamari-chili crisp or chimichurri.","922 NW 21st Ave Portland, OR 97209",Dine In | Take Out |
Blutos,"Crispy Feta Dumplings: Fried phyllo, feta, garlic honey, everything spice, mint.","2835 SE Belmont St., Portland, OR 97214",Dine In | Take Out |
Boke Bowl,"Sichuan-style local lamb dumplings with garlic chive, cilantro, mint, house-made chile crunch oil, and black vinegar.","1028 SE Water Ave. Ste. 120 Portland, OR 97214",Dine In | Take Out | GrubHub | Caviar |
Bring! Treats for Dogs,Bao Wow Dumplings with Peanut Sauce.,"431 SW Harvey Milk St, Portland, OR 97204",Dine In | Take Out |
Cascadia Restaurant,Chicken chive dumplings.,"9000 SW Washington Square Rd. Tigard, OR 97223",Dine In | Take Out |
Chin's Kitchen,"Our dumplings are stuffed with fresh pork meat and a variety of vegetables, some with whole shrimps. We also have vegetarian dumplings with chives and eggs. Our dumplings are thin-skinned and large-filled, fresh, delicious and juicy, and made using traditional handcrafts.","4126 NE Broadway St, Portland OR 97232",Dine In | Take Out | Postmates | GrubHub | Uber Eats | Doordash
Chinese Delicacy,Pork and shrimp dumplings.,"6411 SE 82nd Ave, Portland, OR 97266",Dine In | Take Out | Postmates | GrubHub | Uber Eats
Cibo,Barolo braised beef cheek (Tortelli) dumplings.,"3539 SE Division St. Portland, OR 97202",Dine In | Take Out | Doordash | GrubHub | Uber Eats
City Thai,"Our Steamed Pork Dumpling features a savory mix of ground pork and shrimp, seasoned with aromatic spices and wrapped in a delicate wonton. Topped with crispy fried garlic, these dumplings are served with a bold, spicy ginger black chili sauce that adds the perfect kick to every bite.","6341 SW Capitol Hwy, Portland, OR 97239",Dine In | Take Out | Postmates | Caviar | GrubHub | Uber Eats
Deadshot,Potato & caramelized onion pierogies with sour cream and dill.,"2133 SE 11th Ave. Portland, OR 97214",Dine In | Take Out
E-San Thai,E-San offers an Asian delightful tender thin dough dumplings with vegan vegetables steamed and served with special savory sauce ( chicken and veggie dumplings also available),9320 SE Woodstock blvd Portland Oregon 97266 at the Flipside Bar,Dine In | Take Out |
Farm to Fit,Super Bowl Inspired Chili Cheddar Dumplings with a Delectable Sour Cream Dip,"5411 NE Lombard St. Portland, OR 97218",Dine In | Take Out |
Farmhouse Thai Kitchen,"Zapp Zapp Wonton – Handmade Dumplings in Spicy Tom Yum, Chili Paste. Organic Pork. Shrimp. Chinese Broccoli. Lemongrass. Kaffir Lime. Cilantro.","3354 SE Hawthorne Blvd., Portland, OR 97214",Dine In | Take Out |
Farmhouse Thai Kitchen,"Zapp Zapp Wonton – Handmade Dumplings in Spicy Tom Yum, Chili Paste. Organic Pork. Shrimp. Chinese Broccoli. Lemongrass. Kaffir Lime. Cilantro.","121 NW 9th Ave., Portland, OR 97209",Dine In | Take Out |
Friendship Kitchen,Dumpling Special TBD.,"2333 NE Glisan St, 97232, Portland, OR",Dine In | Take Out |
Friendship Kitchen,Dumpling Special TBD.,"2764 NW Thurman Ave, 97210, Portland, OR",Dine In | Take Out |
Gado Gado,"Shrimp Wonton Soto - Aromatic pork and chicken soup, cucumber, herbaceous green oil, hella herbs, pickled shimeji mushroom","1801 NE Cesar E Chavez Blvd, Portland, OR 97212",Dine In | Take Out |
