restaurant,pizza,toppings,address,hours,details
21st Century Pizza,The Basil Bae,"Basil, tomato, and Italian herb on garlic infused olive oil",1221 SW Jefferson St.,"Closed on the 18th, 11am-10pm 19-24th","Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? No
Purchase Limit? Yes - 1 slice per customer / no limit on whole pizzas
Meat or Vegetarian? Vegetarian
Available By The Slice Or As A Whole Pizza? Both"
Assembly Brewing,The Trinity,"Caramelized edge Brick cheese blend, Tomato Sauce, Pesto and a reduced Balsamic glaze made fresh.",6112 SE Foster Rd,Sun-Thur 11-9 Fri-Sat 11-10,"Allow Minors? No
Allow Takeout? No
Allow Delivery? No
Purchase Limit? Yes - 2 pizzas per person
Meat or Vegetarian? Vegetarian
Available By The Slice Or As A Whole Pizza? Whole Pizza"
Atlas Pizza,CubanOPP!,"Mustard base, Mozzarella, Canadian bacon, House-smoked pork butt, Pickles, Red onion","3570 SE Division, 710 N Killingsworth, 6535 SE Foster",4pm-9pm,"Allow Minors? Yes
Allow Takeout? Yes - Not all dining rooms are open
Allow Delivery? No
Purchase Limit? Yes - 2 slice per customer.
Meat or Vegetarian? Meat - Also offering vegan slices daily for the same discount to make sure our vegan friends are not left out.
Available By The Slice Or As A Whole Pizza? Slice"
Baby Doll Pizza,Guajillo Gucci,"Choice of either Carne adovada or Jackfruit on an Adobo chili sauce, topped with minced onions, cilantro, and creme fraiche",2835 SE Stark,"Monday 4pm-8pm, Tuesday-Sunday 11am-8pm","Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? No
Purchase Limit? Yes - 2 slices per person
Meat or Vegetarian? Meat with veggie sub available
Available By The Slice Or As A Whole Pizza? Slice"
Boxcar Pizza,Porking for the Weekend,"Jackfruit Carnitas, Pickled Jalapeno, Pineapple, Cilantro-Lime Aioli, Cheddar/ Mozzarella blend on a fluffy and crunchy Detroit style sourdough crust.",2701 NE Sandy Blvd,"M-F: 4-9, SAT/SUN: 12-9","Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? No
Purchase Limit? Yes - 2 per person
Meat or Vegetarian? Vegan
Available By The Slice Or As A Whole Pizza? Slice"
Dante's Pizza Slut,5 Meats 1 Hole,"Pepperoni, Salami, Bacon, Canadian Bacon and Sausage",1 SW 3rd Ave.,11am-2:30am every day,"Allow Minors? Yes - Minors allowed to order from the window on 3rd AVE, 21+ can order inside the venue
Allow Takeout? Yes
Allow Delivery? Yes - DoorDash, Uber Eats and Grub Hub
Purchase Limit? Yes - 2 pizzas per person
Meat or Vegetarian? Meat
Available By The Slice Or As A Whole Pizza? Both"
Danwei Canting,Chinese BBQ Pork Brisket Pizza,"Fatty Pork Brisket slow roasted in Chinese Spices, Sweet Peppers, Mushrooms, Red Onion, Mozzarella & Cheddar Cheese, BBQ Sauce, baked fresh on a Focaccia Crust.",803 SE Stark Street,"Sun- Thurs 11:30-9, Fri-Sat 11:30-10","Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? No
Purchase Limit? Yes - 2 slices per person
Meat or Vegetarian? Meat
Available By The Slice Or As A Whole Pizza? Slice"
East Glisan Pizza Lounge,The Marvelous Mrs Maize,"Corn Sauce, Chorizo Verde, Mozzarella, Cotija, Potato",8001 NE Glisan St.,"Mon-Thurs 5pm-9pm, Fri-Sat 5pm-11pm","Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? No
Purchase Limit? Yes - 2 per person
Meat or Vegetarian? Meat
Available By The Slice Or As A Whole Pizza? Both"
Fino Bistro & Pizzeria,Keep Calm and Curry On,"Indian Butter Curry, Za'atar Pepitas, Red Onion, Kale, Garlic Oil",8225 N Denver Ave,"11:30am-10pm, Every day Except Friday after 5pm","Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? Yes - Door Dash
Purchase Limit? Yes - 2 per person
Meat or Vegetarian? Vegetarian
Available By The Slice Or As A Whole Pizza? Slice"
Gladstone Street Pizza,Now I Actually Love Kale,Red Sauce Pie with Dollops of Ricotta Cheese and Mama Lil's Spiced Crispy Kale,3813 SE Gladstone St.,4pm-9pm,"Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? Yes - Caviar
Purchase Limit? 5 Whole Pies
Meat or Vegetarian? Vegetarian
Available By The Slice Or As A Whole Pizza? Both"
Handsome Pizza,The Sloppy Joe Slice,"Tomato sauce, Mozzarella, and Sloppy Joe",1603 NE Killingsworth Street,"Wed, Thurs, Fri: 4-8PM; Sat & Sun: 2-8PM","Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? No
Purchase Limit? Yes - 2 per person
Meat or Vegetarian? Meat
Available By The Slice Or As A Whole Pizza? Slice"
