restaurant,pizza,toppings,description,address,hours,meat_veggie,slice_pie,minors,takeout,delivery,purchase_limit,available_limit,notes
Assembly Brewing,Sweet Hickory,"Honey hickory BBQ beef, Mama Lil’s Hungarian sweet peppers, house-pickled red onions and Wisconsin brick cheese with a caramelized edge.","We wanted to avoid using pork to have broader appeal and thought seasoned beef would be a fun alternative. It’s very flavorful so we wanted strong flavors in the veggies to match, otherwise they’d just get lost. Our kitchen crew loves everything pickled so the choice was easy.",6112 SE Foster Rd,11 am–10 pm daily,Meat,Whole Pie,No,No,No,"Yes, 2 pies","Yes, 100 pies",
Atlas Pizza,Nacho Libre,"Nacho cheese base, mozzarella, diced jalapeño, tomato, olive, black beans, scallions ","Our Foster shop is back at the Ballpark this year with an ode to another stadium staple: NACHOS! A ""stadium cheese"" base (aka the gooiest, most decadent nacho cheese on the planet) makes this pie a real home run. Pair with some Newks Hot Sauce, available in all our shops - and you’re outta here, bub!",6529 SE Foster Rd,4–10 pm daily,Vegetarian,By the Slice,Yes,Yes,No,Yes - 3 slices of pizza week pie per customer per day!,No,
Atlas Pizza,Reservoir Hogs,"Smoked pork, savory garlic and olive oil base, pickles, and red onion, with a drizzle of both mustard and our own zesty Carolina BBQ sauce.",House-smoked meats by Biggz himself are BACK at Division this year! He’ll be slow-smoking pork for days to pair perfectly with our new Zesty Carolina BBQ sauce—made special for Pizza Week 2023! Come get yer mitts on a slice or three! ,3570 SE Division St,4–10 pm daily,Meat,By the Slice,Yes,Yes,No,Yes - 3 Pizza Week slices per customer per day!,No,
Atlas Pizza,Thai Hard 2,"Curried peanut sauce, chicken, roasted red peppers, red onion, mozzarella, cashews, scallion","Killingsworth is BACK to Thai Harder with another fusion this year! Creamy house-made curried peanut sauce base is the star of the show on this pie, bub!",710 N Killingsworth,"Monday–Thursday 11:30 am–9 pm, Friday–Saturday 11:30 am–10 pm, Sunday 11:30 am–9 pm",Meat,By the Slice,Yes,Yes,No,Yes - 3 pizza week slices per customer per day!,No,
Baby Doll Pizza,I love you elote,"Street corn pizza is a delicious fusion of Mexican street food and Italian cuisine. The pizza features a crispy crust topped with a flavorful combination of seasoned corn and a tantalizing Tajin, chipotle, and lime sauce. The corn is carefully seasoned with a blend of spices, including garlic, pepper, and salt and topped with cotija cheese.To complement the sweet and spicy flavors of the corn, the pizza is topped with tangy pickled onions and fresh cilantro. The pickled onions provide a pleasant crunch and a hint of acidity that perfectly balances the richness of the cheese and the sweetness of the corn.","Do you love corn? Of course you do, It’s Corn! Get ready to be wowed by our corn-forward slice seasoned with warm elote style spices and topped with all the hits – creamy cotija cheese, crisp pickled onion, cilantro, and a Tajin-chipotle lime sauce. We can’t imagine a more beautiful thing.",2835 SE Stark St,11 am–10 pm daily,Vegetarian,By the Slice,Yes,No,No,Yes - Limit 2 slices per person,Yes - 800 slice limit per day,
Boxcar Pizza,Birria Pie,"Jackfruit birria, mozzarella, cheddar, fresh onion, and cilantro. Served with a side of consome.","Everyone loves birria, so why not put it on a pizza? Our naturally leavened sourdough is fluffy in the middle and crunchy on the bottom - and our slices are deceptively filling.",2701 NE Sandy Blvd,11:30 am-9 pm daily,Vegan,By the Slice,Yes,Yes,Yes via Doordash (can be ordered via our website boxcarpizzapdx.com),No,No,
Carina Lounge,Crème de la crème,"A mushroom duxelles with house-made Italian sausage, roast garlic cream sauce, and French feta cheese",The mushrooms and French feta cheese really shine bright in this non-traditional pizza. The Garlic cream sauce with Italian sausage give the Crème de la crème a rich and filling element that you will remember. ,410 NW 21st Ave,"Wednesday–Thursday 4:30–9 pm, Friday–Saturday 4:30–10 pm, Sunday 4:30–8 pm",Meat,Whole Pie,Yes,No,No,No,No,
Cicoria,Kale Pizza,"Green garlic cream, asiago fresco, guanciale, and Meyer lemon","We at Cicoria always try to be as seasonal as possible, because seasonal means tasty! Kale rabe is only available in the late winter and early spring, so now is prime time! Pair that with the early green garlic, some super salty-sweet asiago fresco and crispy guanciale, and we have a flavor explosion. Our super thin-crust, tavern-style, party-cut pizza allows for each piece to be a little different and a lot of fun!",3377 SE Division St,"Wednesday–Thursday 5–9 pm, Friday–Saturday 5–10 pm, Sunday 5–9 pm",Meat,Whole Pie,Yes,We will allow take-out however it is limited due to constraints of the business of dine-in.,No,No,No,
Danwei Canting,Mapo Tofu Pizza,"Fried Ota tofu (made fresh right across the street!) marinated in a blend of spices, roasted squash, bell peppers, red onion, green onion, and mozzarella, on a marinara sauce base. ",We have been wanting to make this pizza for a bit. Danwei participates in Pizza Week every year and we dig the challenge. We tested this last year and it was a hit! ,803 SE Stark Street,12–9 pm daily,Vegetarian,By the Slice,Yes,Yes,No,Yes - 2 slices per person,NA,
East Glisan Pizza Lounge,Is it Shawarma in here? (or is it just me?),"Herby garlic sauce, mozzarella, spiced yogurt-marinated chicken thighs, pickles, and house hot sauce.","""You got pizza in my Shawarma!"" ""You got Shawarma on my pizza!"" Two great tastes come together to make a savory, garlicky, spicy slice.",8001 NE Glisan St,"Monday–Wednesday 5–9 pm, Thursday–Saturday 5–11 pm, Sunday 5–9 pm",Meat,Both,Yes,Yes,No,"Yes, 2 slices per person",No,
