pizza,restaurant,toppings,description,address,hours,meat_veggie,veggie_sub,vegan_sub,gf,gf_sub,whole_slice,minors,takeout,delivery,purchase_limit,availability_limit
Butcher's Bolognese,Assembly Brewing,"Fresh basil, lemon zest, and a rich bolognese sauce with beef rib, shank, chuck, and broth provided by our friends and neighbors at Proletariat Butchery.","We wanted to take this opportunity to highlight some of our neighbors who are doing really cool things on Foster Road, so we collaborated with Proletariat Butchery. The result is like sneaking into the kitchen and dipping a piece of garlic bread in dad's Sunday gravy when nobody is looking.","6159 SE Foster Rd , Portland, OR",11am-10pm,Meat,No,No,No,No,Both,"21+ at Foster, all ages at Alberta",No,No,No,No
Butcher's Bolognese,Assembly Brewing,"Fresh basil, lemon zest, and a rich bolognese sauce with beef rib, shank, chuck, and broth provided by our friends and neighbors at Proletariat Butchery.","We wanted to take this opportunity to highlight some of our neighbors who are doing really cool things on Foster Road, so we collaborated with Proletariat Butchery. The result is like sneaking into the kitchen and dipping a piece of garlic bread in dad's Sunday gravy when nobody is looking.","2934 NE Alberta St , Portland, OR",11am-10pm,Meat,No,No,No,No,Both,"21+ at Foster, all ages at Alberta",No,No,No,No
Homer's Hot Chicken Odyssey (Illegal in 42 States),Atlas Pizza,"Garlic oil base, mozzarella, nashville hot chicken, spicy pickles, scallions, honey butter, pub sauce","D'oh! An homage to The Simpsons AND Nashville hot chicken all at once! Crispy hot chicken tenders & spicy pickles on mozzarella, melting together in the oven with honey butter dollops & pub sauce, topped with fresh scallions. Sweet & savory- Atlas style.","710 N. Killingsworth , Portland, OR",Sun-Thu 11:30am-9pm / Fri-Sat 11:30am-10pm,Meat,No,No,No,No,Slice,Yes,Yes,No,2 slices per person,No
The Arthur Ave,Atlas Pizza,"Garlic olive oil base, mozzarella, mortadella, gabagool, red peppers, red onions, italian dressing drizzle, pecorino romano, calabrian chili ranch side","At Atlas- we like to keep things old school. OG. We're taking it back to where it all began. Garlic oil base & mozzarella, mortadella & capocollo (gabagool!), red peppers & red onions, topped with pecorino romano & a creamy italian drizzle. Served with a side of calabrian chili ranch, cugine!","3570 SE Division St. , Portland, OR",Mon-Fri 4pm-10pm,Meat,No,No,No,No,Slice,Yes,Yes,No,2 slices per person,No
The Maize Runner,Atlas Pizza,"Jalapeno oil base, mozzarella, smoked pork belly, roasted corn, pickled red onion, cotija cheese, lime crema, cilantro & tajin","¡Híjole! Foster's bringing the spice this year. Jalapeno oil base, mozzarella, smoked pork belly, roasted corn & pickled red onion to start. Topped off with cotija cheese, fresh cilantro, tajin & our own special lime crema drizzle (think Taco Bell's creamy jalapeno sauce. Trust.)","6529 SE Foster Rd. , Portland, OR",Mon-Fri 4pm-10pm,Meat,No,No,No,No,Slice,Yes,Yes,No,2 slices per person,No
Chicken Shawarma!,Baby Doll Pizza,"Mozzarella Cheese, Chicken Thigh, Red Onion & Pickles. Topped with a Roasted Red Pepper Sauce, a drizzle of Zesty Sour Cream and a touch of Parsley.","Creamy clouds of sour cream sauce caress the palate, mingling with succulent chicken thigh, tender and tantalizing. A symphony of flavors erupts as vibrant red pepper sauce cascades, blending roasted red bell pepper, spices, and herbs. Red onions dance alongside pickles and mozzarella, crowned with a flourish of parsley.","2835 SE Stark St. , Portland, OR",Monday 4pm-8pm / Tue-Sun 12pm-8pm,Meat,Yes,No,No,No,By the Slice,Baby Doll Pizza allows minors only on pizza side and at outside tables. Minors are not allowed in the bar side.,Yes,No,Pizza Week Slice limit is 2 per customer.,No
Smash or Pass,Boxcar Pizza,"Mozzarella/ Cheddar Blend, Beef, Lettuce, White Onion, Burger Sauce, Sesame Seeds","It's like a smash burger but served in a form we could only dream about, until now. Vegan Detroit-Style Pie that will also be available gluten free.","2701 NE Sandy Blvd , Portland, OR",11:30am-9pm Daily,Vegan,NA,NA,No,"Yes, only available as entire 8x10 inch pie (4 slices) for $16",Both,Yes,Yes,"Yes, order delivery through our website",No,No
Spicy Carribbean Pizza,Brix Tavern,"Italian sausage, ham, pineapple, spinach, creamy bechemel, mango habanero & mozzarella cheese","Everybody loves Hawaiian pizza, and this is our interpetation of the classic pizza. One of the defining features of Caribbean food is its use of bold and spicy flavors, many dishes are seasoned with hot peppers which add a fiery kick!","1338 NW Hoyt St. , Portland, OR",Mon-Thu 11am - 10pm / Fri 11am - 11pm / Sat 9:30am - 11pm / Sun 9:30 am - 10pm,Meat,No,No,No,Yes,Whole Pie,Yes,Yes,No,No,No
Carina Had a Little Lamb,Carina Lounge,"Braised Lamb, fennel, feta, mozzarella and red onion",Carina had a little LambThe pizza is rich and warmAnd every time we opened the door a line was soon to formA pizza so good with fennel and feta cheeseA pizza legend was born,"410 NW 21st Ave. , Portland, OR",Wed-Thu 4:30pm-9:00pm / Fri-Sat 4:30pm-10:00pm / Sunday 4:30pm-8pm / Closed Monday and Tuesday,Meat,No,No,No,No,Whole Pie,Yes,Yes,No,Yes,No
Pizza Piedra,Clarklewis,"House made beef barbacoa, sweet corn cream, mozzarella, feta, radish, & cilantro",Inspired by chef's love of Mexican street tacos. This pizza embodies those flavors.,"1001 SE Water Ave, Suite 160, Portland, OR",Sun-Thu 4pm-9pm / Fri-Sat: 4pm-10pm,Meat,No,No,No,"Yes, gluten free dough is $4 more",Whole Pie,Yes,Yes,No,No,No
BURNSIDE CREAMPIE,Dante's,White pie with roasted garlic and sausage,Do you ever find yourself wandering Burniside late night looking for a hot gooey load ? Well PizzaSlut can accommodate any hole your looking to fill.......so open up and let us satisfy you !the hard way,"350 West Burnside St. , Portland, OR",11am-2am Daily,Meat,No,No,No,No,Both,"Minors can use the pizza window on 3rd, +21 are welcome in the bar",Yes,No,Yes,No
Thank You Verde Much!,East Glisan Pizza Lounge,"Queso Fresco, Mozzarella, Slow Roasted Pork Shoulder, Chile Verdi sauce, Cotija, house-fried Tortilla Strips, finished with Roasted Garlic Jalapeno crema","Our slice is savory and lightly spiced plus there's a vegan version that subs Follow Your Heart mozzarella and Jackfruit. We think it’s verde delicious and, hope you’ll like it verde much!","8001 NE Glisan St. , Portland, OR",Sun-Tue 5pm-9pm / Closed Wed / Thu-Sat 5pm-11pm,"Meat, Vegan",No,Yes,No,No,Both,Yes,Yes,3rd party delivery on whole pies only,2 slices per person,No
The Sun Also Rises,Fino Bistro & Pizzeria,"tomato & eggplant stew, crispy chickpeas, chopped kale, feta, mozzarella, finished with a tahini yogurt drizzle","This is inspired from the Moroccan spice blend, Ras el Hanout. The ‘stew’ is wonderful, but what will really ‘pop’ are the crispy chickpeas. Always drawing inspiration from the universe, we know that this slice is a clear winner. Let the stars align and pair it with one of our 12 horoscope inspired cocktails!","8225 N. Denver Ave. , Portland, OR",Mon-Thu 11:30am-9pm / Fri-Sat 11:30am-10pm / Sun 11:30am-9pm,Vegetarian,NA,No,No,No,By the Slice,Yes,Yes,Not for slices,2 slices per person,No
Asparagus Ricotta Truffle,HOTLIPS Pizza-Hawthorne,"Asparagus, ricotta, truffle oil + shredded mozzarella.","Asparagus Ricotta Truffle Oil. Spring is all over this pie! Fresh asparagus and creamy ricotta cheese on a base of nutty, sweet truffle-infused olive oil and mozzarella cheese. Available for a limited time only!","2211 SE Hawthorne Blvd , Portland, OR",11am - 9pm Daily,Vegetarian,NA,No,No,"Yes, we only offer a Gluten Free crust as a 12"" pie. We don't have GF slices.",Both,Yes,Yes,No,We are limiting this pie to 2 per purchase,No
Asparagus Ricotta Truffle,HOTLIPS Pizza-Hawthorne,"Asparagus, ricotta, truffle oil + shredded mozzarella.","Asparagus Ricotta Truffle Oil. Spring is all over this pie! Fresh asparagus and creamy ricotta cheese on a base of nutty, sweet truffle-infused olive oil and mozzarella cheese. Available for a limited time only!","721 NW 9th Ave , Portland, OR",11am - 9pm Daily,Vegetarian,NA,No,No,"Yes, we only offer a Gluten Free crust as a 12"" pie. We don't have GF slices.",Both,Yes,Yes,No,We are limiting this pie to 2 per purchase,No
Charlotte's Revenge,Humdinger Pizza,"Mouthwatering bacon, crunchy apples, onions caramelized to perfection, and tangy blue cheese on a canvas of olive oil.","This pie offers a fantastic blend of savory, sweet, and that funky bleu. (Raffle prizes and goodie bags happening daily!)","9201 SE Foster Rd. , Portland, OR",11am 10pm Daily,Meat,No,No,No,No,By the Slice,Yes,Yes,No,2 slices per person per visit,No
Jagger’s Pie,Love Verona Pizza & Pasta,"Marinara, home made italian sausage, Char pepperoni, imported fresh mozzarella, jalapenos and finished with ''MIKE'S HOT HONEY ''","From our very successful Food Cart project downtown, to a brick and mortar restaurant, we are always looking to satisfy customers with fresh ideas and delicious dishes! If you are in the St. John's you are welcomed to check out what we have been up to.","8436 N Ivanhoe St. , Portland, OR",Monday - Saturday 10:30am -11:30pm,Meat,Yes,No,No,No,Both,Yes,No,No,No,No
Jagger’s Pie,Love Verona Pizza & Pasta,"Marinara, home made italian sausage, Char pepperoni, imported fresh mozzarella, jalapenos and finished with ''MIKE'S HOT HONEY ''","From our very successful Food Cart project downtown, to a brick and mortar restaurant, we are always looking to satisfy customers with fresh ideas and delicious dishes! If you are in the St. John's you are welcomed to check out what we have been up to.","540 SW College St. , Portland, OR",Monday 10:30am / Tuesday Closed / Wed-Sat 10:30am-1am / Sun 12pm-10:30pm,Meat,Yes,No,No,No,Both,Yes,No,No,No,No
The Stissing House BBQ Chicken,Meta Pizza,"House-made spicy BBQ, Chicken Thigh, Smoked Gouda and Mozz, Red Onions and Spinach","The Stissing House is like a rustic saloon and a New England Inn that have been combined, and updated with nice candles, linen and stemware. I grew up 2 blocks from it, in upstate New York. This is my tribute to a truly wonderful pizza they had on the menu for many years.","3541 SE Milwaukee Ave. , Portland, OR",Tue-Thu 3pm-9pm / Fri-Sun 3pm-10pm. Closed Monday,Meat,No,No,No,"Yes, for an additional $5",Both,Yes,Yes,"Yes, Door dash, grub Hub, and Uber eats. But we would prefer to deliver thru our website and app",No,No
Smoky meatball with Vodka sauce,Metropolitan Tavern,"House ground smoked meatballs, fresh mozzarella, vodka sauce, black olives, mama lil's peppers, fried basil","We are a high profile and high volume restaurant, and one of our main focuses is on sustainability. Therefore, we strive to utilize 100% of all food. We hand cut our steaks, and grind the trimmings to make our meatballs. we love to use time tested techniques like smoking to give our food the best flavor possible. We use local ingredients in all our food as much as possible.","1021 NE Grand Ave , Portland, OR","Mon-Fri 11am - 11pm, Sat-Sun 9:30am-11pm",Meat,No,No,No,Yes,Whole Pie,Yes,Yes,No,No,No
Spring Fever,Mississippi Pizza Pub & Atlantis Lounge,"Tomato sauce, roasted asparagus, cherry tomatoes, corn picante, green onions, mama lil and pepperoncini relish, fresh arugula, touch of sea salt.","Inspired by the changing of the seasons from winter into spring, mixed with our desire to warm up from this long cold winter. We used in season spring veggies with some corn picante, a relish made from Mama Lil's peppers and pepperoncini's to bring just the right amount of heat to warm anybody up.","3552 N Mississippi Ave. , Portland, OR",11am - 10pm Daily,Vegan,NA,NA,No,"Yes, for an additional $4.50",Both,Yes,Yes,No,Limit 2 whole pizzas and 4 slices per person,No
Gucci,Oakshire Beer Hall,"Mozzarella, Italian herbed chicken, garlic confit, house-pickled vegetables, chili oil and Pecorino Romano","The Gucci was created by our beloved employee, Clayton. When Clayton was asked to come up with a pizza special, he was inspired by the changing season and wanted to create something that was light, palatable, and featured his love of pickled vegetables.","5013 NE 42nd Ave. , Portland, OR",12pm - 9pm Daily,Meat,No,No,No,No,Whole Pie,Yes,Yes,No,Two pizzas per person limit,No
Hot Chick'n Summer,Old Town Brewing,"Dill Sauce, Mozzarella, Pickles, Nashville Hot Chicken, Coleslaw","Based with a creamy dill sauce, we layer on mozzarella and deal out the pickles like old men around a card table playing dominos. If you thought this was just another pickle pizza, though, you were wrong, because we set off the fire alarm with a pile of Nashville Hot Chicken for that sweet brown sugar heat. Last, to cool the whole thing down: some southern style coleslaw.","5201 NE Martin Luther King Jr Blvd. , Portland, OR",Mon-Thur 4pm-9pm / Fri 3pm-9pm / Sat 12pm-9pm / Sun 4pm-9pm,Meat,No,No,No,No,Slice,Yes,Yes,No,Two slices per person.,No
Porchetta Pig,Oven & Shaker,"House Porchetta, Tomato sauce, Calabrian chilis, House Mozzarella, parsley, garlic, oregano","CALLING ALL MEAT LOVERS. Slices of house made Porchetta stuffed with fennel sausage with fragrant Calabrian chilis top our beautifully crafted dough, and yes we pull the mozzarella in house! Cooked with love in our wood-fired oven because is there any other way to craft such perfection?","1134 NW Everett St. , Portland, OR",Sun-Thu 11:30am - 9pm / Fri-Sat 11:30am - 10pm,Meat,Yes,Yes,No,"Yes, for an additional $6",Whole Pie,Yes,Yes,"Yes, Uber Eats and Door dash",No,No
The Questing Taco,Paladin Pie,"House-made vegetarian chili, cheddar, mozzarella, candied jalapeño crema, green onion and crushed Fritos.","For Pizza Week this year we are angering Italians and Texans alike with this delicious sacrilege. This is a Frito-pie/walking taco inspired pizza with all the flavors you are expecting to eat out of a chip bag with a fork. We are serving it on a paper plate or in a box, though, because we are at least partially conventional.","1027 NE Alberta St , Portland, OR",Closed Mon / Tue-Thur 4pm-8pm / Fri & Sat 12pm-9pm / Sun 12pm-8pm,Vegetarian,NA,No,No,No,Both,Yes,Yes,No,2 slices per person (no limit on whole pies),Please expect a wait during peak meal times as we are a small food cart
Rankin's NAUGHTY Nashville Hot Chicken Pizza,Red Sauce Pizza,"A whimsical blend of cheeses, pickle chips, and fried chicken tenders tossed in a spicy house Nashville hot sauce. Finished with Shardell's Spicy Honey","Chef Rankin created this Naughty Nashville Hot Chicken Pizza to lure in the Hot Firemen of Portland. If you think you can take the heat, come check it out.","4641 NE Fremont St. , Portland, OR",Sun-Thu 4pm-8pm / Fri-Sat 4pm-9pm,Meat,No,No,No,No,Whole Pie,Yes,Yes,"Yes, DoorDash and UberEats.",No,No
Pizzaleada Mamalona,Reeva Cafe y Cocina a la Leña,"Bean base, Reeva’s cheese blend, Pork Belly, Chimichurri, Crema","When people hear about our signature Pizzaleada, they raise an eyebrow when they hear “beans on a pizza.” Our Pizzaleada is a blend of unique flavors that we feel everyone in Portland (and the world) needs to try at least once in their life. It’s our signature pizza inspired by the traditional Honduran Baleada.","7727 NE Sandy Blvd , Portland, OR",Mon-Thu 12pm-8pm / Fri-Sat 9pm-8pm / Sunday 9pm-7pm,Meat,Yes,Yes,No,"Yes, GF is an additional $3",Whole Pie,Yes,Yes,No,No,No
El Pepperoni Loco,Rudy's Gourmet Pizza,"Rudy’s red sauce, roasted green chiles, pepperoni and jalapeño agave drizzle available traditional, vegan and gluten free","A little sweet, a little spicy, a lot sassy! Like all Rudy’s Pizza pizzas, this is one that can’t be missed!","2443 SE Powell Blvd , Portland, OR",12pm - 12am Daily,Meat,Yes,Yes,Yes,"Yes, $12 for the whole gluten free pizza",Whole Pie,Yes,Yes,No,No,No
White Noise,Ruse Brewing,"mozzarella, pepperoni, capicola, soppersetta, sweet pickled peppers, truffle ranch drizzle, red sauce, pecorino.",This Detroit style pizza was inspired by a late night loaded slice and cheap bubbly lager in a can.,"4784 SE 17th AVE STE 100 , Portland, OR",Wed-Thu 3pm-8pm / Friday 3pm-9pm / Saturday 12pm-9pm / Sunday 12pm-8pm,Meat,No,No,No,"Yes, for an additional $2",Whole Pie,Yes,No,No,4 Pizza Max per person,No
"So What, No F*ckin' Ziti Now?!",Scottie's Pizza Parlor,"Penne pasta, tomato and vodka sauce, fresh & aged mozz, pecorino romano, oregano and garlic oil, finished with herbed breadcrumbs, fresh parsley, and microplaned parm (contains nuts)","Grandma Soprano called & said she's not coming to the party, so we had to improvise with the ziti. Enjoy!","2128 SE Division St. , Portland, OR",Wed-Sat 3pm-8pm,Vegetarian,NA,Yes,No,No,Both,Yes,Yes,Yes,No,"We will only make 10 whole pies available per day, at each shop. Otherwise slices will be available all day."
"So What, No F*ckin' Ziti Now?!",Scottie's Pizza Parlor,"Penne pasta, tomato and vodka sauce, fresh & aged mozz, pecorino romano, oregano and garlic oil, finished with herbed breadcrumbs, fresh parsley, and microplaned parm (contains nuts)","Grandma Soprano called & said she's not coming to the party, so we had to improvise with the ziti. Enjoy!","685 NW 21st Ave. , Portland, OR",Tue-Sat 12pm-8pm,Vegetarian,NA,Yes,No,No,Both,Yes,Yes,Yes,No,"We will only make 10 whole pies available per day, at each shop. Otherwise slices will be available all day."
