restaurant,sandwich,toppings,inspiration,address,hours,fine_print
Ate Oh Ate,Ate-Oh-Ate Katsu Melt,"Pork katsu on griddled Texas toast with Tillamook cheddar, mac salad, house kimchi, and katsu sauce",The evil creation of an enthusiastic kitchen head,2454 E Burnside St , 11 am–9 pm. Also available at the SE Woodstock location.,"Allow Minors? Yes
Allow Takeout? No
Allow Delivery? No
Purchase Limit? No
Meat or Vegetarian? Meat"
Kevin & Franky's,Bout That Cheddar!,"House roasted beef, smothered in white cheddar cheese sauce, covered with battered onion strings, topped with horseradish cream.",Ooooo-wee. Delicious!,1025 SW Harvey Milk St , Tues–Sat 11 am–7 pm,"Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? No
Purchase Limit? No
Meat or Vegetarian? Meat"
Marty's Sandwich Depot,Bread Over Alice Waters,"Lemon herb whipped feta, seasonal sautéed veggies, fresh greens dressed with balsamic vinaigrette, finished with garlic paste and olive oil.","This sandwich was inspired by my culinary heroine, Alice Waters! She cooks with love and the ingredients speak for themselves! Highlighting the culinary bounties that surround us!",5205 SE Foster Rd ," Tue, Thur, Fri 11 am–6 pm, Wed & Sat 12–6 pm","Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? No
Purchase Limit? Yes - 2 per customer; total of 30 sandwiches available daily
Meat or Vegetarian? Vegetarian"
Buddy's Steaks,Cheesesteak Hoagie,"Vegan cheesesteak, sliced tomato, sliced vegan provolone, shredded lettuce, peperoncini, mayo, Dos Hermanos semolina rollThe Inspiration: A cheesesteak is a hot sandwich. A hoagie is a cold sandwich. Together, they make a Cheesesteak Hoagie. Ours is a vegan cheesesteak with mayo, sliced tomato and sliced vegan provolone, shredded lettuce and peperoncini.","Vegan cheesesteak, sliced tomato, sliced vegan provolone, shredded lettuce, peperoncini, mayo, Dos Hermanos semolina rollThe Inspiration: A cheesesteak is a hot sandwich. A hoagie is a cold sandwich. Together, they make a Cheesesteak Hoagie. Ours is a vegan cheesesteak with mayo, sliced tomato and sliced vegan provolone, shredded lettuce and peperoncini.",5235 NE Sandy Blvd ," Mon, Thurs–Sun 11 am–8 pm","Allow Minors? Yes
Allow Takeout? No
Allow Delivery? No
Purchase Limit? No
Meat or Vegetarian? Vegan"
Haymaker,Haymaker Cubano,"Slow braised pork, house cured ham, house brined pickles, Swiss cheese, mustard cream sauce, soft French roll, pressed and toasted","One of our favorite pre-Covid sandwiches is back!!! Classic Cubano with super tender braised pork, house cured and smoked ham, house made dill pickles, and as opposed to standard mustard… a nod to our other FL fav, our version of the mustard cream sauce from Joe’s in Miami. Served on French bread and pressed so it’s nice and crispy!",1233 N Killingsworth ," Mon–Thurs 3–9 pm, Fri–Sat 3–11 pm (live music with cover at 9 pm), Sun 3–7 pm","Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? No
Purchase Limit? No
Meat or Vegetarian? Meat"
Laurelhurst Market Butcher Shop & Restaurant,High on the Hog,"Spiced & smoked pork loin, radicchio, giardiniera, Italian salsa verde, and crispy fried onions on a toasted bun.",We aim to balance flavors and textures in our sandwiches and this is no exception. The spice from the pork rub and giardiniera is cooled by the radicchio while the assertive flavor of smoked pork is counteracted by the sharpness of capers in the salsa verde. This sandwich eats great right away but also travels well if you prefer it to-go.,3155 E Burnside St , 11 am–3 pm,"Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? No
Purchase Limit? No
Meat or Vegetarian? Meat"
Holler,Holler Summer BBQ Fried Chicken,"Fried chicken thigh, spicy mustard dressing, housemade bbq, and apple slaw",Chef Romeo made it for summer eating. We'll provide the extra napkin.,7119 SE Milwaukie Ave ," Mon–Thurs 12–9 pm, Fri 11 am–9 pm, Sat–Sun 10 am–9 pm","Allow Minors? Yes
Allow Takeout? No
Allow Delivery? No
Purchase Limit? No
Meat or Vegetarian? Meat"
Banh Mi Up,King Katsu Banh Mi,"Battered and fried King oyster mushrooms, pickled daikon, pickled carrots, jalapeno, cilantro topped with house-made ginger orange sauce and finished with toasted sesame seeds.",A zesty vegan play on our OG Chicken Katsu Banh Mi. Our King Katsu Banh Mi combines the rich savory flavor of oyster mushroom and a tangy ginger orange sauce for a reimagined Katsu Banh Mi that's like nothing you've had before.,8037 N Lombard St, Mon–Sat 11 am–7:45 pm,"Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? No
Purchase Limit? No
Meat or Vegetarian? Vegan"
Moreland Ale House,Moreland Cubano,House braised and shredded pork with tri-colored bell peppers and onion with melted Swiss and a cornichon remoulade sauce. Served on Grand Central hoagie bread.,"Based on the classic cubano, this sandwich takes it to the next level",7995 SE Milwaukie Ave , 11:30 am-11 pm,"Allow Minors? Yes
Allow Takeout? No
Allow Delivery? No
Purchase Limit? No
Meat or Vegetarian? Meat"
Bar Maven,No Pharm Chicken Sando,"Vegan or regular fried chicken tenders, fried mozzarella sticks, house-made nut-free basil pesto, marina sauce, and sweet and spicy chipotle sauce.","We tried our best to make a flavor bomb chicken sandwich that was fun and we really enjoyed eating it, and hopefully everyone will enjoy it as well.",6219 SE Foster , 4 pm–1 am,"Allow Minors? No
Allow Takeout? Yes, for an additional $2 container fee
Allow Delivery? No
Purchase Limit? No, but only 100 sandwiches available daily
Meat or Vegetarian? Either"
Phil's Meat Market & Delicatessen,Obscenely Decadent “Croque Philip”,"Obscenely decadent, béchamel-broiled pain de mie, delicately distinct black forest ham that’s cold-smoked with juniper and coriander, cave-aged Gruyère cheese, both complex and dimensional, golden-roasted sweet-fleshed apricots festively freshened with Jacobsen’s cracked pink peppercorns, Durant olive oil, and a schmeer of Chef Kimi’s apricot jam elevate this French snack into a “Complex Croque” of edible bliss!",Pronounced “krowk muh·syur” our “Craft Croque” is an oozing molten body of food beauty bursting with a trifecta of tantalizing tastes. The most heavenly eating experience during Sandwich Week!,17 NW 23rd Place , 11 am–6 pm,"Allow Minors? Yes
Allow Takeout? No
Allow Delivery? Yes - but the price will not be $6
Purchase Limit? Yes - One sandwich per person per day. 
Meat or Vegetarian? Meat"
Dick's Primal Burger,Phat Belly Cubano,"Smoked pork belly, thinly sliced duroc ham, spicy brown mustard, ""good"" pickles, and Swiss cheese on a hoagie roll",Our locally sourced take on the traditional Cubano.,4120 North Williams , 11 am–9 pm,"Allow Minors? Yes
Allow Takeout? No
Allow Delivery? No
Purchase Limit? No
Meat or Vegetarian? Meat"
Reverend's BBQ,Pit Stop,"Smoked Laurelhurst Market ham, American cheese, mayo, Carolina Gold, and picalilli on a Kaiser bun","Drawing from our love of a classic ham and cheese, we are fancifying it a bit, but staying true to the inspiration!",7712 SE 13th Ave, 12–9 pm,"Allows Minors? Yes
Allows Takeout? No
Allows Delivery? No
Purchase Limit? Yes - 2 per customer
Meat or Vegetarian? Meat"
Migration Brewing Co.,Pork Belly Bahn Mi,"Crispy pork belly with sweet soy glaze, pickled veggies and fresh cucumber, and spicy sambal aioli on a soft ciabatta roll",It's Bomb As F$@k,2828 NE Glisan St , 12–9 pm,"Allow Minors? Yes
Allow Takeout? No
Allow Delivery? No
Purchase Limit? No 
Meat or Vegetarian? Meat"
