restaurant,sandwich,toppings,description,address,hours,meat_veggie,minors,takeout,delivery,purchase_limit,available_limit,notes
Aji Tram Restaurant x Bar,Sichuan Fried Chicken Sando,"Fried chicken thigh, Sichuan hot honey, Thai basil aioli, house-made pickles, brioche bun",Fried Goodness!!!,"4477 Lakeview Blvd, Lake Oswego, OR",Daily 12–9 pm,Meat,Yes,No,No,No,No,NA
Banh Mi Up,Dip Style Pork and Egg Banh Mi ,Slow-cooked pork in young coconut juice with two fried eggs,"It's the perfect balance of savory and sweet flavors, and the freshness of the vegetables and herbs make it a perfect combo. ","8037 N Lombard St, Portland, OR",Monday–Saturday 11 am–8 pm ,Meat,Yes,No,No,No,Yes - 40,NA
Big's Chicken,Smoked and Braised Chicken Rojo,"Braised and smoked chicken, cabbage salad, cilantro crema, pickled jalapenos, and fresno sauce",Spicy and smoky with a pickled jalapeño kick,"4570 SW Watson Ave, Beaverton, OR",Daily 11:30 am–9 pm,Meat,Yes,Yes,No,No,No,NA
BinaryBrewing.co,Heatsink 2.0,"Ciabatta bun, spicy fried chicken thigh, roast jalapenos, onions, and chipotle garlic","A Southern fried chicken thigh, drenched in Mech 47 Buffalo sauce with roasted jalapenos, house made sweet pickles, and onions on a Portland French ciabatta bun. ","12345 SW Broadway, Portland, OR","Tuesday–Wednesday 3–10 pm, Thursday–Sunday 12–10 pm",Meat,Yes,No,No,No,No,NA
Boke Bowl,Boke Sando,"Grilled char siu pork tenderloin, Chinese mustard slaw, and house pickle on An Xuyen brioche bun",A fun sandwich twist off our char siu pork buns. Grilled and sliced juicy pork tenderloin with crisp pickles on a toasted buttery bun topped with zesty slaw and our house 5-spice char siu sauce.,"1028 SE Water Ave, Portland, OR",Wednesday–Sunday 11 am–8 pm,Meat,Yes,Yes,"Yes - DoorDash, Caviar, GrubHub",No,No,NA
Bowery Bagels,Portland Kanapky,"Smoked ham, whipped cream cheese, pickled beet and herb slaw, sliced egg, tomato, aioli, butter ","Our take on the Ukrainian kanapky. Traditionally an open-faced sandwich, we have modified it for maximum enjoyment. While it will work on any of our bagels, we particularly recommend it on our marble rye. Vbolivayemo za Ukrayinu!","310 NW Broadway, Portland, OR","Monday–Friday 7 am–1pm, Saturday–Sunday 8 am–1 pm",Meat,Yes,Yes,Yes,"Yes - We have a limited shop staff, online orders not to exceed 5 sandwiches per order.",No,Online ordering available through UberEats or www.bowerybagels.com
Buddy’s Steaks,The Schmitter,"Buddy’s classic steak with sautéed onions, Dinger’s Deli salami, sliced tomatoes, provolone cheese, pepperoncini, and GNARLYS 1k sauce on a fresh Dos Hermanos Kaiser roll",Our first venture off a hoagie roll pays homage to the classic McNally’s Tavern’s Schmitter sandwich. It’s fun to say and even more fun to eat!,"4255 SE Belmont St, Portland, OR",Daily 11 am–8 pm,Vegan,Yes,Yes,Yes - DoorDash,No,No,NA
Duke's Public House,Beef Bacon BLT,"Thick-cut beef bacon, tomato chipotle aioli, arugula, beefsteak tomatoes, maple caramelized onions, sourdough",Sweet Heat!!!,"506 A Ave, Lake Oswego, OR",Daily 12–9 pm,Meat,Yes,No,No,No,No,NA
Fish Sauce,Vietnamese Caramel Braised Pork Belly Banh Mi,"Pork belly, pickled carrots and daikon, cilantro, cucumbers, and house-made spread stuffed in local French bread",It's a common household dish served in every Vietnamese home.,"407 NW 17th Ave, Portland, OR",Tuesday–Saturday 4–9 pm,Meat,Yes,Yes,No,No,No,NA
Flew the Coop,The Smokestack!,"This pulled pork sandwich features smoked pulled pork, spicy hot link sausage, tangy BBQ sauce, and creamy coleslaw, all served on a grilled potato bun. Sweet, smoky, spicy, and messy - this sandwich has it all!",Join us for Sandwich Week at the Barley Pod. Grab a cold beer from Baerlic Brewing and come back for our mouth-watering Southern fried chicken sandwiches and loaded fries.,"6035 NE Halsey St, Portland, OR",Tuesday–Saturday 11:30 am–8 pm,Meat,Yes,Yes,No,No,No,NA
