restaurant,wing,toppings,address,hours,takeout,minors,purchase_limit,delivery,vegan_available,gluten
Jarana,Akishisho Wings,"Aji limo, aji panca, spicy garlic, cantaloupe, mandarin

What They Say: This is a fusion of Peruvian and Japanese ingredients to make a delicious sweet, tangy, spicy wings for you all to try! 

",726 SE Grand Ave (located inside Lulu Bar) ," Wed 4-11: 30pm / Thurs-Sat 4pm-1am 

"," No
"," No
"," No
"," No
", No," Yes
"
Todo,Atotolin Wings,"Wings marinated in lime, deep fried, basted with arbol chile oil, slathered with salsa verde cremaWhat They Say: They have rich, soul-quenching heat balanced with bright creaminess of salsa verde!",1935 SE Hawthorne Blvd ," Mon 5-9 pm, Tues-Sat 5-10 pm, Sun 5-9 pm"," Yes, if they are part of an order of other items on our regular menu", Yes, Yes," Yes, if they are part of an order of other items on our regular menu", No, Yes
Danwei Canting,Black Bean Wing,"Tempura battered wings, fermented black beans, sesame oil, shaoxing wine, garlic, ginger, Toban Djan hot sauceWhat They Say: We wanted to imbue our tempura-battered wings this year with a rustic depth of flavor. Black bean was the perfect choice to build an exciting new wing sauce around. Earthy but complex with a little touch of sweet and heat. ",803 SE Stark St , 11:30 am-9 pm, Yes, Yes, Yes - two orders per person, No, No, No
Aji Tram Restaurant and Bar,Chili Ginger Chicken Wings,"Gluten-free rice flour dredge, sweet chili, ginger, hoisin, honey, green onion, and toasted sesame garnishWhat They Say: Asian fusion","4477 Lakeview Blvd, Lake Oswego ", 12-9 pm , No, Yes, No, No, No, Yes
Duke's Public House,Elote Chicken Wings,"Cojita, jalapeño, cilantro, tajin, elote dipping sauce What They Say: Mexican street corn turned into wings ","506 A Ave, Lake Oswego ", 12-9 pm , No, Yes, No, No, No, Yes
ChiMcking,Fried Wing,Marinated fried wings that are deep fried twice in a mixture of spices. What They Say: Our wings are the crispiest in town because of the Korean sauces and techniques that make each bite special and leave you wanting more. No other restaurant can provide the authentic Korean fried wing and beer experience besides us. ,"11741 SW Beaverton Hillsdale Hwy, Beaverton ",11 am-8 pm, Yes, Yes, Yes, No, No, No
ChiMcking,Fried Wing,Marinated fried wings that are deep fried twice in a mixture of spices. What They Say: Our wings are the crispiest in town because of the Korean sauces and techniques that make each bite special and leave you wanting more. No other restaurant can provide the authentic Korean fried wing and beer experience besides us. ,4118 NE Sandy Blvd,11 am-8 pm, Yes, Yes, Yes, No, No, No
Lariat Lounge,Ginger Soyaki,"Lightly breaded wing, dredged in soy, garlic, ginger, and the Lariat 13 rub seasoning.What They Say: Crispy, salty, garlicky goodness!",17238 SE Division St , 11 am-10 pm, No, No, No, No, No, No
Bottle + Kitchen,Habanero Wings,"Pineapple, habanero, green onion, garlic, herbs, apple cider vinegar, brown sugar, and mustard seed powder. Bone-in wings crispy fried and tossed in our slow-cooked pineapple and habanero pepper sauce. Topped with green onion and pineapple chunks.What They Say: These wings are a lovely balance of spicy, sweet, and smoky.",50 SW Morrison St , 4-11 pm, Yes, Yes, No, No, No, Yes
Ex Novo,Lime Cilantro Wings,Chicken wings fried fresh and tossed with our house lime and cilantro blend.What They Say: We love fresh bright flavors especially on grey fall days!,2326 N Flint Ave ," Monday-Fri 4-9 pm, Sat-Sun 2-9 pm", No, Yes, No, No, No, Yes
