restaurant,wing,toppings,description,address,hours,minors,takeout,delivery,purchase_limit,chick_veggie,gluten_free,veggie,NA
Aji Tram,Sweet Miso,"White miso, brown sugar, apple vinegar",Gluten-free rice flour dredge,"4477 Lakeview Blvd, Portland, OR","Monday–Thursday 12–9 pm, Friday–Saturday12–9:30 pm, Sunday 12–9 pm",Yes,Yes,No,Yes,Chicken,Yes,No,NA
BAES Fried Chicken,Spicy Peach Bourbon BBQ Wings,"Notes of spicy peach, bourbon, roasted garlic, BBQ sauce with brown butter, and finished with our Nashville hot seasoning.",NA,"225 SW Ash St, Portland, OR",Daily 11 am–10 pm,Yes,Yes,No,No,Chicken,No,No,NA
BeezWingz by HunnyBeez,Honey Chili Adobo Wingz,"Honey, soy sauce, sugar cane vinegar, garlic, pepper",A sweet and spicy twist on our famous adobo wings. We take our Papa Tony’s adobo recipe and toss them in our honey chili sauce. These tender wings will hit every part of your tastebuds.,"1434 SW Park Ave, Portland, OR","Monday 11 am–9 pm, Wednesday–Saturday 11 am–9 pm, Sunday 11 am–7 pm",Yes,Yes,Yes,No,Chicken,No,Yes,We have a vegan wing but it is not available in this style
Big's Chicken,Smoked and Fried Gochujang Wings ,"Gochujang, soy, ginger, sesame, green onion","We are using Korean sauce from our sister restaurant, Ate-Oh-Ate, married with white gold and green onions to toss our smoked and fried chicken wings with!!","4606 NE Glisan St, Portland, OR",Daily 11:30 am–9 pm,Yes,Yes,No,No,Chicken,No,No,NA
Big's Chicken,Smoked and Fried Gochujang Wings ,"Gochujang, soy, ginger, sesame, green onion","We are using Korean sauce from our sister restaurant, Ate-Oh-Ate, married with white gold and green onions to toss our smoked and fried chicken wings with!!","4570 SW Watson Avenue, Beaverton, OR",Daily 11:30 am–9 pm,Yes,Yes,No,No,Chicken,No,No,NA
Binary Brewing,Sweet and Spicy Sambal Boneless Bites,"These boneless wings are buttermilk-marinated, breaded, and tossed with our sweet and spicy sambal sauce. Garnished with toasted sesame seeds and served with a side of cilantro wasabi dipping sauce. ","Our Southeast Asian inspired sauce celebrates the depth of sambal oelek flavor, balanced with ginger, garlic, and brown sugar (for sweetness). And if you taste notes of fish sauce and Thai chilies, yeah they're in there too! ","12345 SW Broadway St, Beaverton, OR","Tuesday–Wednesday 3–10 pm, Thursday–Sunday 12–10 pm",Yes,Yes,No,No,Chicken,No,No,NA
Birdie Time Pub,Thai Sweet Chili Wings,"Wings tossed in Thai sweet chili sauce, cilantro sweet onion mix, and serranos","Birdie Time Pub is the perfect place to grab a batch of fresh wings, and a round of mini golf. These Thai Sweet Chili Wings will leave you wanting more! Pair it with a round of mini golf and an ice-cold beer or drink of your choice. With a selection of over 36 taps, you won't leave Birdie Time Pub hungry or thirsty! ","925 SE Main St, Portland, OR",Daily 12–10 pm,"Yes, until 7 pm",Yes,No,No,Chicken,No,No,NA
Boke Bowl ,Boke Wings,Brined and cold smoked crispy wings with toasted chile honey mango sauce ,"While we are known for our buttermilk Southern fried chicken, we love to bring the heat and have a little fun during Wing Week! Always a fan favorite!","1028 SE Water Ave, Portland, OR","Wednesday–Thursday 11 am–8 pm, Friday–Saturday 11:30 am–10 pm, Sunday 11 am–8 pm",Yes,Yes,"Yes, on Grubhub, DoorDash, and Caviar",No,Chicken,Yes,No,NA
Bottle + Kitchen,Pineapple Habañero Wings,"Pineapple, habañero, green onion, garlic, herbs, apple cider vinegar, brown sugar, and mustard seed powder","How do you like your Pineapple Habañero Wings? How about a lovely balance of spicy, sweet, and smoky? Enjoy our gluten-free crispy fried wings tossed in our homemade slow-cooked pineapple and habañero pepper sauce, and topped with green onion and pineapple chunks. ","50 SW Morrison St, Portland, OR",Daily 4–10 pm,Yes,Yes,No,No,Chicken,Yes,No,NA
Brix Tavern Pearl,Brix Chicken Wings,"Classic wings with your choice of BBQ, Buffalo, Thai, or traditional style, and a choice of sauce: smoked tomato aioli, blue cheese or BBQ sauce. Served with pickled vegetables.",NA,"1338 NW Hoyt St, Portland, OR","Monday–Thursday 11 am–10 pm, Friday 11 am–11 pm, Saturday 9:30 am–11 pm, Sunday 9:30 am–10 pm",Yes,Yes,Yes,No,Chicken,No,No,NA
